"","year","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","origin","dest","air_time","distance","hour","minute"
"45",2013,1,1,639,-1,739,-10,"B6","N805JB",1002,"JFK","BOS",41,187,6,39
"46",2013,1,1,643,-3,922,-18,"UA","N497UA",556,"EWR","PBI",146,1023,6,43
"47",2013,1,1,643,-2,837,-11,"US","N178US",926,"EWR","CLT",91,529,6,43
"48",2013,1,1,644,8,931,-9,"UA","N75435",1701,"EWR","FLL",151,1065,6,44
"49",2013,1,1,645,-2,815,5,"B6","N796JB",102,"JFK","BUF",63,301,6,45
"50",2013,1,1,646,1,910,-6,"UA","N569UA",883,"LGA","DEN",243,1620,6,46
"51",2013,1,1,646,1,1023,-7,"UA","N38727",1496,"EWR","SNA",380,2434,6,46
"52",2013,1,1,651,-4,936,-6,"B6","N558JB",203,"JFK","LAS",323,2248,6,51
"53",2013,1,1,652,-3,932,11,"B6","N178JB",117,"JFK","MSY",191,1182,6,52
"54",2013,1,1,653,-7,936,-33,"DL","N327NW",1383,"LGA","PBI",149,1035,6,53
"55",2013,1,1,655,0,1021,-9,"DL","N3763D",1415,"JFK","SLC",294,1990,6,55
"56",2013,1,1,655,-5,1037,-8,"DL","N705TW",1865,"JFK","SFO",362,2586,6,55
"57",2013,1,1,655,-5,1002,-18,"DL","N997DL",2003,"LGA","MIA",161,1096,6,55
"58",2013,1,1,656,-4,854,4,"AA","N4WNAA",305,"LGA","ORD",143,733,6,56
"59",2013,1,1,656,-3,949,-10,"AA","N5FMAA",1815,"JFK","MCO",142,944,6,56
"60",2013,1,1,656,-9,1007,27,"MQ","N722MQ",4534,"LGA","XNA",233,1147,6,56
"61",2013,1,1,656,-4,948,-23,"UA","N24212",1115,"EWR","TPA",156,997,6,56
"62",2013,1,1,657,-3,959,-14,"DL","N318NB",1879,"LGA","FLL",164,1076,6,57
"63",2013,1,1,658,-2,944,5,"DL","N6703D",1547,"LGA","ATL",126,762,6,58
"64",2013,1,1,658,-2,1027,2,"VX","N627VA",399,"JFK","LAX",361,2475,6,58
"65",2013,1,1,659,-1,1008,-7,"AA","N3EKAA",2279,"LGA","MIA",159,1096,6,59
"66",2013,1,1,659,-1,1008,1,"B6","N646JB",981,"JFK","FLL",156,1069,6,59
"67",2013,1,1,659,-6,907,-6,"DL","N998DL",831,"LGA","DTW",105,502,6,59
"68",2013,1,1,659,-1,959,-9,"UA","N838UA",960,"EWR","RSW",164,1068,6,59
"69",2013,1,1,701,1,1123,-31,"UA","N77296",1203,"EWR","SJU",188,1608,7,1
"70",2013,1,1,702,2,1058,44,"B6","N779JB",671,"JFK","LAX",381,2475,7,2
"71",2013,1,1,709,9,852,20,"UA","N26226",1092,"LGA","ORD",135,733,7,9
"72",2013,1,1,711,-4,1151,-15,"B6","N651JB",715,"JFK","SJU",190,1598,7,11
"73",2013,1,1,712,-3,1023,-12,"AA","N3ETAA",825,"JFK","FLL",159,1069,7,12
"74",2013,1,1,715,2,911,21,"UA","N841UA",544,"EWR","ORD",156,719,7,15
"75",2013,1,1,717,-3,850,10,"FL","N978AT",850,"LGA","MKE",134,738,7,17
"76",2013,1,1,719,-2,1017,5,"B6","N562JB",987,"JFK","MCO",147,944,7,19
"77",2013,1,1,723,-2,1013,-4,"UA","N514UA",962,"EWR","PBI",153,1023,7,23
"78",2013,1,1,724,-6,1111,31,"AA","N541AA",715,"LGA","DFW",254,1389,7,24
"79",2013,1,1,724,-1,1020,-10,"AS","N594AS",11,"EWR","SEA",338,2402,7,24
"80",2013,1,1,725,-5,1052,12,"AA","N4WRAA",2083,"EWR","DFW",238,1372,7,25
"81",2013,1,1,727,-3,959,7,"UA","N37462",1162,"EWR","DEN",254,1605,7,27
"82",2013,1,1,728,-4,1041,3,"UA","N488UA",473,"LGA","IAH",238,1416,7,28
"83",2013,1,1,729,-1,1049,-26,"VX","N635VA",11,"JFK","SFO",356,2586,7,29
"84",2013,1,1,732,-3,857,-1,"B6","N304JB",20,"JFK","ROC",64,264,7,32
"85",2013,1,1,732,3,1041,2,"B6","N563JB",1601,"LGA","RSW",167,1080,7,32
"86",2013,1,1,732,47,1011,30,"UA","N37456",1111,"EWR","MCO",145,937,7,32
"87",2013,1,1,733,-3,854,4,"B6","N552JB",44,"JFK","SYR",54,209,7,33
"88",2013,1,1,734,-3,1047,-26,"B6","N625JB",643,"JFK","SFO",350,2586,7,34
"89",2013,1,1,739,-6,918,-12,"AA","N4WPAA",309,"LGA","ORD",137,733,7,39
"90",2013,1,1,739,0,1104,26,"UA","N37408",1479,"EWR","IAH",249,1400,7,39
"91",2013,1,1,741,-4,1038,2,"B6","N633JB",983,"LGA","TPA",158,1010,7,41
"92",2013,1,1,743,13,1107,7,"AA","N338AA",33,"JFK","LAX",358,2475,7,43
"93",2013,1,1,743,-6,1043,-11,"B6","N624JB",341,"JFK","SRQ",164,1041,7,43
"94",2013,1,1,743,13,1059,3,"DL","N3760C",495,"JFK","SEA",349,2422,7,43
"95",2013,1,1,745,0,1135,10,"AA","N336AA",59,"JFK","SFO",378,2586,7,45
"96",2013,1,1,746,0,1119,-10,"UA","N24224",1668,"EWR","SFO",373,2565,7,46
"97",2013,1,1,749,39,939,49,"MQ","N508MQ",3737,"EWR","ORD",148,719,7,49
"98",2013,1,1,752,-3,1041,-18,"DL","N325US",2263,"LGA","MCO",140,950,7,52
"99",2013,1,1,752,2,1025,-4,"UA","N511UA",477,"LGA","DEN",249,1620,7,52
"100",2013,1,1,752,-7,955,-4,"US","N543UW",1733,"LGA","CLT",96,544,7,52
"101",2013,1,1,753,-2,1056,-14,"AA","N3HMAA",2267,"LGA","MIA",157,1096,7,53
"102",2013,1,1,754,-5,1039,-2,"DL","N935DL",2047,"LGA","ATL",126,762,7,54
"103",2013,1,1,754,-1,1103,33,"WN","N789SW",733,"LGA","DEN",279,1620,7,54
"104",2013,1,1,758,-2,1053,-1,"B6","N645JB",517,"EWR","MCO",142,937,7,58
"105",2013,1,1,759,-1,1057,-30,"DL","N955DL",1843,"JFK","MIA",158,1089,7,59
"106",2013,1,1,800,0,1022,8,"DL","N317US",2119,"LGA","MSP",171,1020,8,0
"107",2013,1,1,800,-10,949,-6,"MQ","N828MQ",4406,"JFK","RDU",80,427,8,0
"108",2013,1,1,801,-4,900,-19,"B6","N206JB",1172,"EWR","BOS",38,200,8,1
"109",2013,1,1,803,-7,903,-22,"AA","N3GEAA",1838,"JFK","BOS",38,187,8,3
"110",2013,1,1,803,3,1132,-12,"UA","N510UA",223,"JFK","SFO",369,2586,8,3
"111",2013,1,1,804,-6,1103,-13,"DL","N947DL",1959,"JFK","MCO",147,944,8,4
"112",2013,1,1,805,0,1015,10,"B6","N273JB",219,"JFK","CLT",98,541,8,5
"113",2013,1,1,805,5,1118,12,"B6","N570JB",3,"JFK","FLL",165,1069,8,5
"114",2013,1,1,805,-10,1006,-4,"MQ","N739MQ",4490,"LGA","CMH",101,479,8,5
"115",2013,1,1,807,-3,1043,0,"DL","N308DE",269,"JFK","ATL",126,760,8,7
"116",2013,1,1,809,-6,1043,-7,"EV","N14542",4388,"EWR","JAX",132,820,8,9
"117",2013,1,1,810,0,1048,11,"9E","N915XJ",3538,"JFK","MSP",189,1029,8,10
"118",2013,1,1,810,-5,1100,-28,"DL","N349NW",2395,"LGA","PBI",149,1035,8,10
"119",2013,1,1,811,-4,1006,-26,"EV","N11193",4260,"EWR","CHS",101,628,8,11
"120",2013,1,1,811,101,1047,137,"MQ","N531MQ",4576,"LGA","CLT",118,544,8,11
"121",2013,1,1,811,-4,1026,10,"US","N654AW",675,"EWR","CLT",96,529,8,11
"122",2013,1,1,812,-2,1040,23,"EV","N17108",4537,"EWR","MEM",180,946,8,12
"123",2013,1,1,813,-2,1103,7,"DL","N375NC",914,"LGA","DEN",267,1620,8,13
"124",2013,1,1,814,4,1047,17,"FL","N977AT",346,"LGA","ATL",132,762,8,14
"125",2013,1,1,817,7,1005,17,"B6","N228JB",1051,"JFK","PIT",86,340,8,17
"126",2013,1,1,820,0,1254,-16,"B6","N527JB",717,"JFK","SJU",190,1598,8,20
"127",2013,1,1,820,-10,940,-14,"DL","N324US",27,"JFK","BOS",36,187,8,20
"128",2013,1,1,820,0,1249,-40,"DL","N900PC",301,"JFK","SJU",182,1598,8,20
"129",2013,1,1,821,1,1153,24,"B6","N521JB",181,"JFK","SAN",354,2446,8,21
"130",2013,1,1,821,-4,932,-13,"MQ","N846MQ",4418,"JFK","DCA",52,213,8,21
"131",2013,1,1,822,-8,1014,-2,"EV","N12540",4104,"LGA","CLE",91,419,8,22
"132",2013,1,1,823,-2,1019,-5,"US","N655AW",487,"JFK","CLT",96,541,8,23
"133",2013,1,1,823,0,1151,16,"UA","N39728",1223,"EWR","DFW",250,1372,8,23
"134",2013,1,1,824,-6,1027,2,"AA","N573AA",1855,"LGA","STL",169,888,8,24
"135",2013,1,1,825,-2,1058,-7,"B6","N292JB",611,"JFK","JAX",130,828,8,25
"136",2013,1,1,826,71,1136,51,"AA","N3GVAA",443,"JFK","MIA",160,1089,8,26
"137",2013,1,1,826,9,1145,-13,"UA","N76522",1480,"EWR","SFO",357,2565,8,26
"138",2013,1,1,828,-2,1027,15,"B6","N274JB",905,"JFK","ORD",160,740,8,28
"139",2013,1,1,828,5,1150,7,"UA","N76528",1506,"EWR","LAX",359,2454,8,28
"140",2013,1,1,829,-1,1152,-8,"UA","N554UA",443,"JFK","LAX",360,2475,8,29
"141",2013,1,1,829,-1,1117,-23,"UA","N75425",1592,"EWR","MCO",145,937,8,29
"142",2013,1,1,830,0,1018,3,"AA","N4YCAA",313,"LGA","ORD",137,733,8,30
"143",2013,1,1,830,-5,1052,-13,"MQ","N513MQ",4610,"LGA","ATL",123,762,8,30
"144",2013,1,1,831,-4,1021,-18,"EV","N13969",4412,"EWR","MYR",92,550,8,31
"145",2013,1,1,832,-8,1006,-24,"MQ","N725MQ",4521,"LGA","RDU",77,431,8,32
"146",2013,1,1,833,-2,1134,32,"F9","N203FR",835,"LGA","DEN",257,1620,8,33
"147",2013,1,1,835,0,1210,20,"AA","N3BDAA",717,"LGA","DFW",249,1389,8,35
"148",2013,1,1,839,-11,1027,-8,"MQ","N711MQ",4558,"LGA","CLE",88,419,8,39
"149",2013,1,1,840,-5,1311,-39,"AA","N5FSAA",1357,"JFK","SJU",188,1598,8,40
"150",2013,1,1,840,-5,1053,-9,"DL","N926DL",2304,"JFK","DTW",108,509,8,40
"151",2013,1,1,846,1,1138,-27,"B6","N564JB",553,"EWR","RSW",157,1068,8,46
"152",2013,1,1,848,853,1001,851,"MQ","N942MQ",3944,"JFK","BWI",41,184,8,48
"153",2013,1,1,848,-3,1155,19,"UA","N27724",1741,"EWR","JAC",275,1874,8,48
"154",2013,1,1,851,0,1032,-4,"EV","N19966",4548,"EWR","RDU",75,416,8,51
"155",2013,1,1,851,-8,1102,-3,"DL","N361NB",869,"EWR","DTW",106,488,8,51
"156",2013,1,1,851,11,1215,9,"UA","N39297",1626,"EWR","SAN",367,2425,8,51
"157",2013,1,1,852,-3,1046,26,"WN","N777QC",3848,"EWR","MDW",146,711,8,52
"158",2013,1,1,853,8,1147,2,"B6","N184JB",59,"JFK","TPA",159,1005,8,53
"159",2013,1,1,855,-4,1143,-2,"DL","N646DL",1747,"LGA","ATL",129,762,8,55
"160",2013,1,1,856,-4,1226,6,"AA","N324AA",1,"JFK","LAX",358,2475,8,56
"161",2013,1,1,856,-4,1222,-10,"DL","N970DL",2143,"LGA","MIA",158,1096,8,56
"162",2013,1,1,856,1,1140,-23,"UA","N75426",1296,"EWR","PBI",150,1023,8,56
"163",2013,1,1,857,-3,1516,-14,"HA","N380HA",51,"JFK","HNL",659,4983,8,57
"164",2013,1,1,857,-8,1107,-13,"DL","N321NB",181,"LGA","DTW",110,502,8,57
"165",2013,1,1,857,-3,1124,-9,"DL","N371NB",485,"EWR","ATL",125,746,8,57
"166",2013,1,1,857,6,1157,-25,"UA","N45440",1670,"EWR","SEA",343,2402,8,57
"167",2013,1,1,858,-2,1102,-8,"MQ","N737MQ",4478,"LGA","DTW",103,502,8,58
"168",2013,1,1,859,-1,1140,-24,"DL","N360NB",1885,"LGA","MCO",140,950,8,59
"169",2013,1,1,859,-1,1223,-2,"VX","N846VA",407,"JFK","LAX",359,2475,8,59
"170",2013,1,1,900,0,1211,8,"UA","N19130",1170,"EWR","FLL",161,1065,9,0
"171",2013,1,1,902,-1,1048,3,"UA","N820UA",580,"EWR","ORD",145,719,9,2
"172",2013,1,1,903,43,1045,50,"MQ","N532MQ",4655,"LGA","BNA",142,764,9,3
"173",2013,1,1,904,-2,1207,-19,"UA","N77525",1401,"EWR","MIA",158,1085,9,4
"174",2013,1,1,905,0,1309,40,"B6","N281JB",1061,"JFK","AUS",263,1521,9,5
"175",2013,1,1,906,23,1134,9,"UA","N17139",1643,"EWR","DEN",246,1605,9,6
"176",2013,1,1,908,-2,1020,-7,"B6","N203JB",56,"JFK","BTV",52,266,9,8
"177",2013,1,1,908,-7,1004,-29,"US","N959UW",1467,"LGA","PHL",32,96,9,8
"178",2013,1,1,908,0,1228,9,"UA","N12216",1220,"EWR","IAH",233,1400,9,8
"179",2013,1,1,909,59,1331,16,"AA","N5EXAA",655,"JFK","STT",184,1623,9,9
"180",2013,1,1,912,12,1241,21,"AA","N5CRAA",647,"JFK","MIA",166,1089,9,12
"181",2013,1,1,912,6,1219,-7,"UA","N38403",1601,"EWR","MIA",159,1085,9,12
"182",2013,1,1,913,-5,1346,-30,"UA","N24715",1519,"EWR","STT",189,1634,9,13
"183",2013,1,1,914,-6,1244,4,"AA","N517AA",1589,"EWR","DFW",238,1372,9,14
"184",2013,1,1,914,14,1058,15,"UA","N810UA",783,"EWR","CLE",85,404,9,14
"185",2013,1,1,917,-3,1313,28,"AA","N596AA",721,"LGA","DFW",258,1389,9,17
"186",2013,1,1,917,2,1206,-5,"B6","N568JB",41,"JFK","MCO",145,944,9,17
"187",2013,1,1,917,-3,1052,-16,"B6","N216JB",1103,"JFK","RDU",80,427,9,17
"188",2013,1,1,920,15,1039,14,"B6","N346JB",1305,"JFK","IAD",52,228,9,20
"189",2013,1,1,920,0,1152,27,"MQ","N527MQ",4582,"LGA","CLT",92,544,9,20
"190",2013,1,1,921,21,1237,10,"DL","N713TW",120,"JFK","LAX",333,2475,9,21
"191",2013,1,1,923,4,1026,-4,"B6","N580JB",1004,"JFK","BOS",38,187,9,23
"192",2013,1,1,926,-3,1404,-17,"B6","N775JB",215,"EWR","SJU",191,1608,9,26
"193",2013,1,1,926,4,1221,2,"B6","N534JB",57,"JFK","PBI",151,1028,9,26
"194",2013,1,1,926,-2,1233,13,"UA","N27733",1597,"EWR","EGE",287,1726,9,26
"195",2013,1,1,927,-3,1231,-26,"DL","N951DL",1335,"LGA","RSW",166,1080,9,27
"196",2013,1,1,929,0,1028,-14,"EV","N11551",4636,"EWR","DCA",43,199,9,29
"197",2013,1,1,929,4,1220,30,"WN","N957WN",766,"EWR","DEN",264,1605,9,29
"198",2013,1,1,930,25,1218,9,"UA","N57439",1148,"EWR","TPA",149,997,9,30
"199",2013,1,1,931,1,1237,-1,"B6","N508JB",375,"LGA","FLL",161,1076,9,31
"200",2013,1,1,931,1,1121,13,"UA","N479UA",255,"LGA","ORD",154,733,9,31
"201",2013,1,1,932,2,1219,-6,"VX","N641VA",251,"JFK","LAS",324,2248,9,32
"202",2013,1,1,933,-4,1057,-5,"B6","N503JB",4,"JFK","BUF",66,301,9,33
"203",2013,1,1,933,29,1252,42,"B6","N579JB",17,"JFK","FLL",170,1069,9,33
"204",2013,1,1,933,-2,1120,15,"WN","N487WN",3895,"LGA","MDW",145,725,9,33
"205",2013,1,1,936,-4,1235,-16,"DL","N975DL",2137,"LGA","TPA",159,1010,9,36
"206",2013,1,1,936,-9,1257,-12,"DL","N900DE",1903,"LGA","SRQ",169,1047,9,36
"207",2013,1,1,937,-3,1238,3,"B6","N615JB",361,"LGA","PBI",154,1035,9,37
"208",2013,1,1,937,-3,1127,7,"WN","N729SW",1807,"LGA","MKE",143,738,9,37
"209",2013,1,1,940,-5,1119,-11,"AA","N4WJAA",319,"LGA","ORD",133,733,9,40
"210",2013,1,1,940,-15,1226,6,"MQ","N525MQ",4654,"LGA","ATL",129,762,9,40
"211",2013,1,1,941,-4,1300,2,"B6","N806JB",679,"JFK","LAX",352,2475,9,41
"212",2013,1,1,946,-13,1146,-16,"EV","N15912",4175,"EWR","AVL",105,583,9,46
"213",2013,1,1,947,-6,1053,-17,"B6","N306JB",600,"JFK","PWM",47,273,9,47
"214",2013,1,1,950,-4,1155,13,"EV","N12567",4681,"EWR","STL",170,872,9,50
"215",2013,1,1,953,-6,1141,12,"MQ","N6EAMQ",4670,"LGA","BNA",144,764,9,53
"216",2013,1,1,953,32,1320,39,"UA","N586UA",222,"EWR","LAX",346,2454,9,53
"217",2013,1,1,955,-5,1336,11,"US","N642AW",75,"EWR","PHX",324,2133,9,55
"218",2013,1,1,956,-4,1241,0,"DL","N956DL",1847,"LGA","ATL",129,762,9,56
"219",2013,1,1,957,144,1056,123,"UA","N534UA",856,"EWR","BOS",37,200,9,57
"220",2013,1,1,959,-3,1313,-6,"DL","N965DL",2379,"LGA","FLL",151,1076,9,59
"221",2013,1,1,959,-1,1151,-15,"US","N765US",1177,"LGA","CLT",90,544,9,59
"222",2013,1,1,1003,-7,1255,-25,"B6","N565JB",503,"EWR","FLL",152,1065,10,3
"223",2013,1,1,1003,4,1408,39,"US","N541UW",196,"JFK","PHX",342,2153,10,3
"224",2013,1,1,1005,5,1239,5,"UA","N81449",1625,"EWR","DEN",254,1605,10,5
"225",2013,1,1,1007,-3,1147,7,"MQ","N503MQ",3795,"EWR","ORD",131,719,10,7
"226",2013,1,1,1009,-6,1219,-10,"DL","N933DL",2319,"LGA","MSP",160,1020,10,9
"227",2013,1,1,1010,-5,1204,-6,"US","N162UW",1103,"EWR","CLT",90,529,10,10
"228",2013,1,1,1010,-5,1225,11,"US","N712US",1441,"JFK","CLT",97,541,10,10
"229",2013,1,1,1011,10,1133,5,"EV","N820AS",5736,"LGA","IAD",59,229,10,11
"230",2013,1,1,1011,-4,1246,-21,"DL","N399DA",1529,"JFK","LAS",320,2248,10,11
"231",2013,1,1,1021,-2,1254,2,"FL","N942AT",347,"LGA","ATL",129,762,10,21
"232",2013,1,1,1024,-5,1140,-10,"EV","N14905",4709,"EWR","BUF",59,282,10,24
"233",2013,1,1,1024,-6,1204,-11,"MQ","N719MQ",4471,"LGA","RDU",78,431,10,24
"234",2013,1,1,1025,5,1356,26,"AA","N3FXAA",731,"LGA","DFW",247,1389,10,25
"235",2013,1,1,1025,34,1258,-4,"UA","N437UA",501,"EWR","MCO",137,937,10,25
"236",2013,1,1,1026,-4,1351,11,"AA","N328AA",19,"JFK","LAX",356,2475,10,26
"237",2013,1,1,1028,2,1350,11,"UA","N76508",1004,"LGA","IAH",237,1416,10,28
"238",2013,1,1,1029,-1,1427,32,"AA","N325AA",179,"JFK","SFO",389,2586,10,29
"239",2013,1,1,1030,-5,1229,-17,"EV","N11189",4277,"EWR","CHS",100,628,10,30
"240",2013,1,1,1031,1,1353,-22,"VX","N625VA",23,"JFK","SFO",363,2586,10,31
"241",2013,1,1,1031,1,1323,-11,"UA","N77258",1294,"EWR","FLL",157,1065,10,31
"242",2013,1,1,1032,-3,1305,15,"EV","N13955",4180,"EWR","IND",135,645,10,32
"243",2013,1,1,1033,16,1130,-6,"UA","N849UA",779,"EWR","BOS",42,200,10,33
"244",2013,1,1,1037,7,1221,11,"AA","N581AA",321,"LGA","ORD",133,733,10,37
"245",2013,1,1,1038,8,1223,21,"UA","N423UA",985,"EWR","ORD",149,719,10,38
"246",2013,1,1,1042,2,1325,-1,"B6","N529JB",31,"JFK","MCO",142,944,10,42
"247",2013,1,1,1044,-1,1231,19,"EV","N15555",4322,"EWR","MKE",151,725,10,44
"248",2013,1,1,1044,-1,1352,1,"UA","N667UA",455,"EWR","IAH",229,1400,10,44
"249",2013,1,1,1044,3,1339,-11,"UA","N76503",1060,"EWR","RSW",157,1068,10,44
"250",2013,1,1,1047,-8,1359,-6,"AA","N3AVAA",739,"LGA","DFW",230,1389,10,47
"251",2013,1,1,1047,-3,1401,-9,"DL","N3748Y",1275,"JFK","SLC",295,1990,10,47
"252",2013,1,1,1048,-2,1302,12,"MQ","N537MQ",4589,"LGA","DTW",112,502,10,48
"253",2013,1,1,1053,3,1402,4,"B6","N520JB",373,"LGA","FLL",165,1076,10,53
"254",2013,1,1,1054,-5,1326,-13,"DL","N920DE",1647,"LGA","ATL",129,762,10,54
"255",2013,1,1,1056,-3,1203,-6,"EV","N11544",4479,"EWR","PWM",51,284,10,56
"256",2013,1,1,1056,-4,1407,-6,"DL","N917DL",2185,"LGA","TPA",158,1010,10,56
"257",2013,1,1,1058,-2,1210,-6,"US","N951UW",2171,"LGA","DCA",50,214,10,58
"258",2013,1,1,1059,-1,1201,-14,"WN","N505SW",321,"LGA","BWI",43,185,10,59
"259",2013,1,1,1059,-1,1210,-5,"MQ","N509MQ",3792,"JFK","DCA",50,213,10,59
"260",2013,1,1,1059,6,1342,-9,"UA","N451UA",369,"EWR","LAS",325,2227,10,59
"261",2013,1,1,1101,18,1345,13,"B6","N630JB",545,"EWR","PBI",145,1023,11,1
"262",2013,1,1,1103,3,1410,-11,"DL","N339NW",2071,"LGA","MIA",155,1096,11,3
"263",2013,1,1,1105,18,1428,23,"UA","N521UA",688,"EWR","SFO",356,2565,11,5
"264",2013,1,1,1107,-8,1305,-5,"MQ","N730MQ",4485,"LGA","CMH",95,479,11,7
"265",2013,1,1,1109,-6,1402,-23,"AA","N3GSAA",2099,"LGA","MIA",157,1096,11,9
"266",2013,1,1,1111,-4,1222,-4,"B6","N279JB",24,"JFK","BTV",52,266,11,11
"267",2013,1,1,1112,12,1440,2,"UA","N517UA",285,"JFK","SFO",364,2586,11,12
"268",2013,1,1,1113,-2,1318,3,"DL","N320NB",1031,"LGA","DTW",104,502,11,13
"269",2013,1,1,1114,134,1447,145,"UA","N76502",1086,"LGA","IAH",248,1416,11,14
"270",2013,1,1,1120,96,1331,78,"EV","N16561",4495,"EWR","SAV",117,708,11,20
"271",2013,1,1,1120,-5,1330,5,"WN","N469WN",1057,"LGA","STL",176,888,11,20
"272",2013,1,1,1123,13,1410,34,"UA","N587UA",405,"LGA","DEN",256,1620,11,23
"273",2013,1,1,1124,24,1435,4,"B6","N590JB",641,"JFK","SFO",349,2586,11,24
"274",2013,1,1,1124,-1,1445,0,"DL","N376NW",1171,"LGA","RSW",169,1080,11,24
"275",2013,1,1,1125,-5,1325,-7,"US","N169UW",1085,"LGA","CLT",94,544,11,25
"276",2013,1,1,1127,-2,1303,-6,"EV","N14180",4294,"EWR","RDU",73,416,11,27
"277",2013,1,1,1127,-3,1504,16,"UA","N518UA",703,"JFK","LAX",357,2475,11,27
"278",2013,1,1,1127,-2,1421,-4,"UA","N14118",1143,"EWR","PBI",156,1023,11,27
"279",2013,1,1,1128,-1,1422,-15,"UA","N496UA",987,"EWR","TPA",156,997,11,28
"280",2013,1,1,1130,5,1301,-4,"AA","N3DEAA",327,"LGA","ORD",127,733,11,30
"281",2013,1,1,1130,-1,1345,3,"DL","N343NB",2219,"LGA","MSP",166,1020,11,30
